epoch,batch,lpips,resnet_loss,clip_loss,feature_loss,total_loss
4,1,0.004392734728753567,0.10227454453706741,0.16117869317531586,0.16117869317531586,0.8586505651473999
4,2,0.003540304023772478,0.06818240880966187,0.21443502604961395,0.21443502604961395,0.8127315640449524
4,3,0.0039075082167983055,0.07049555331468582,0.17908060550689697,0.17908060550689697,0.8425977826118469
4,4,0.005893878638744354,0.06687252968549728,0.13887742161750793,0.13887742161750793,0.8806546926498413
4,5,0.007945108227431774,0.11756284534931183,0.16896496713161469,0.16896496713161469,0.8580655455589294
4,6,0.004363791085779667,0.09105664491653442,0.18357573449611664,0.18357573449611664,0.839584469795227
4,7,0.007858828641474247,0.16244223713874817,0.18751497566699982,0.18751497566699982,0.8421498537063599
4,8,0.01500461995601654,0.11358831822872162,0.2243238240480423,0.2243238240480423,0.8234450221061707
4,9,0.013382588513195515,0.10689232498407364,0.21247908473014832,0.21247908473014832,0.8305111527442932
4,10,0.020121902227401733,0.06674738228321075,0.16992643475532532,0.16992643475532532,0.9295932054519653
4,11,0.008424019441008568,0.08253566175699234,0.20549556612968445,0.20549556612968445,0.8280783295631409
4,12,0.006713599897921085,0.118080735206604,0.1846003383398056,0.1846003383398056,0.8426756858825684
4,13,0.008126534521579742,0.10829024016857147,0.2068690061569214,0.2068690061569214,0.8264499306678772
4,14,0.006496131420135498,0.10665106028318405,0.21655401587486267,0.21655401587486267,0.8158197999000549
4,15,0.011138343252241611,0.08691704273223877,0.2055487483739853,0.2055487483739853,0.8325416445732117
4,16,0.007600387558341026,0.11954551935195923,0.15794722735881805,0.15794722735881805,0.866973876953125
4,17,0.013221550732851028,0.061130065470933914,0.18159562349319458,0.18159562349319458,0.8562845587730408
4,18,0.011643324047327042,0.10470505058765411,0.19044598937034607,0.19044598937034607,0.8460648059844971
4,19,0.008718045428395271,0.11192461848258972,0.18591050803661346,0.18591050803661346,0.8449528813362122
4,20,0.011105844751000404,0.12533046305179596,0.2326711267232895,0.2326711267232895,0.8102118968963623
4,21,0.01613791286945343,0.14272184669971466,0.22500509023666382,0.22500509023666382,0.8360843658447266
4,22,0.013426842167973518,0.0759282335639,0.23775620758533478,0.23775620758533478,0.8098530173301697
4,23,0.015285784378647804,0.16005539894104004,0.2225654572248459,0.2225654572248459,0.8281697630882263
