index,lpips,lpips_fooled,orig_zs_idx,orig_zs_label,orig_zs_conf,adv_zs_idx,adv_zs_label,adv_zs_conf_of_orig,zs_confidence_drop,zs_fooled
0,0.02737260051071644,1,14,butterfly,0.9797109961509705,54,orchid,0.02175070159137249,0.957960294559598,1
1,0.014179205521941185,0,49,mountain,0.5811060667037964,49,mountain,0.7487643361091614,-0.167658269405365,0
2,0.032457977533340454,1,83,sweet_pepper,0.4179704785346985,60,plain,0.013157372362911701,0.4048131061717868,1
3,0.029407531023025513,1,98,woman,0.25380656123161316,5,bed,0.09053732454776764,0.16326923668384552,1
4,0.014320721849799156,0,99,worm,0.13966979086399078,13,bus,0.008565353229641914,0.13110443763434887,1
5,0.015149995684623718,1,63,porcupine,0.20399209856987,60,plain,0.0007251861970871687,0.20326691237278283,1
6,0.04882745444774628,1,76,skyscraper,0.3364059031009674,87,television,0.06604588776826859,0.2703600153326988,1
7,0.010092537850141525,0,1,aquarium_fish,0.9727664589881897,1,aquarium_fish,0.8267238140106201,0.14604264497756958,0
8,0.017693201079964638,1,24,cockroach,0.33699727058410645,53,orange,0.0024596666917204857,0.33453760389238596,1
9,0.03537809103727341,1,87,television,0.44706714153289795,87,television,0.20666801929473877,0.24039912223815918,0
