index,lpips,orig_idx,orig_label,orig_confidence,adv_idx,adv_label,adv_confidence,adv_orig_confidence,confidence_drop,fooled
0,0.003965826705098152,501,cloak,0.24688345193862915,501,cloak,0.03387551009654999,0.03387551009654999,0.21300794184207916,0
1,0.0035203536972403526,501,cloak,0.2899617850780487,399,abaya,0.36391621828079224,0.09328643232584,0.1966753527522087,1
2,0.002381974831223488,577,gong,0.2533736824989319,651,microwave,0.5655985474586487,0.012371120974421501,0.24100256152451038,1
3,0.0038381293416023254,568,fur_coat,0.13185220956802368,651,microwave,0.6191408634185791,0.001077038818039,0.13077517074998468,1
4,0.0027927495539188385,921,book_jacket,0.10800790041685104,834,suit,0.15398572385311127,0.007427271921187639,0.1005806284956634,1
5,0.003628056962043047,501,cloak,0.10594207793474197,501,cloak,0.06976737082004547,0.06976737082004547,0.0361747071146965,0
6,0.004239254631102085,921,book_jacket,0.3132254183292389,921,book_jacket,0.3130347430706024,0.3130347430706024,0.0001906752586364746,0
7,0.0031180400401353836,689,overskirt,0.2572322189807892,556,fire_screen,0.032578516751527786,0.013759252615272999,0.24347296636551619,1
8,0.004239254631102085,921,book_jacket,0.3132254183292389,921,book_jacket,0.3130347430706024,0.3130347430706024,0.0001906752586364746,0
9,0.0031180400401353836,689,overskirt,0.2572322189807892,556,fire_screen,0.032578516751527786,0.013759252615272999,0.24347296636551619,1
10,0.003519130637869239,601,hoopskirt,0.30147886276245117,601,hoopskirt,0.4657314121723175,0.4657314121723175,-0.16425254940986633,0
11,0.003259264398366213,601,hoopskirt,0.233067587018013,689,overskirt,0.05689515545964241,0.04662222042679787,0.18644536659121513,1
12,0.005618583410978317,577,gong,0.5012023448944092,577,gong,0.24654144048690796,0.24654144048690796,0.2546609044075012,0
13,0.0036455057561397552,669,mosquito_net,0.16174104809761047,632,loudspeaker,0.059710610657930374,0.010625177063047886,0.1511158710345626,1
14,0.0034095868468284607,887,vestment,0.3442791998386383,457,bow_tie,0.4101707935333252,0.0025780729483813047,0.341701126890257,1
15,0.0029746745713055134,887,vestment,0.14557698369026184,399,abaya,0.127571702003479,0.00271846866235137,0.14285851502791047,1
16,0.00268620066344738,921,book_jacket,0.06184418871998787,655,miniskirt,0.051270149648189545,0.028440652415156364,0.033403536304831505,1
17,0.003511924296617508,501,cloak,0.08958262205123901,651,microwave,0.25192829966545105,0.14064006507396698,-0.051057443022727966,1
18,0.0026945224963128567,689,overskirt,0.24490764737129211,459,brassiere,0.09696143120527267,0.0050575765781104565,0.23985007079318166,1
19,0.0036455057561397552,669,mosquito_net,0.16174104809761047,632,loudspeaker,0.059710610657930374,0.010625177063047886,0.1511158710345626,1
